id,label
female-portraits,female-portraits
seas-and-oceans,seas-and-oceans
children,children
gardens-and-parks,gardens-and-parks
male-portraits,male-portraits
children portraits,children portraits
rivers-and-waterfalls,rivers-and-waterfalls
streets-and-squares,streets-and-squares
houses-and-buildings,houses-and-buildings
forests-and-trees,forests-and-trees
autumn,autumn
reading-and-writing,reading-and-writing
famous-people,famous-people
cliffs-and-rocks,cliffs-and-rocks
winter,winter
lakes-and-ponds,lakes-and-ponds
mountains,mountains
sunrise-and-sunset,sunrise-and-sunset
boats-and-ships,boats-and-ships
snow-and-blizzard,snow-and-blizzard
spring,spring
female-nude,female-nude
flowers-and-plants,flowers-and-plants
dishware-and-cutlery,dishware-and-cutlery
roads-and-vehicles,roads-and-vehicles
Normandy,Normandy
summer,summer
fields-and-plains,fields-and-plains
cottages-and-farmhouses,cottages-and-farmhouses
furniture-and-decoration,furniture-and-decoration
fruits-and-vegetables,fruits-and-vegetables
doors-and-windows,doors-and-windows
food-and-beverages,food-and-beverages
twilight-and-night,twilight-and-night
arts-and-crafts,arts-and-crafts
group-portraits,group-portraits
mother-and-child,mother-and-child
animals,animals
fishing,fishing
mills-and-windmills,mills-and-windmills
walking,walking
bathing-and-swimming,bathing-and-swimming
washing-and-laundry,washing-and-laundry
moles-and-embankments,moles-and-embankments
Paris,Paris
leisure-and-sleep,leisure-and-sleep
handwork,handwork
markets-and-shops,markets-and-shops
couples,couples
countryside,countryside
cows,cows
islands-and-bays,islands-and-bays
designs-and-sketches,designs-and-sketches
Limousin,Limousin
